,id,code,is_true,format_code,errorline
0,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
main()
{
int D,P;
scanf(""%d %d"",&D,&P);
if(P==3)printf(""%d"",D-1);
else printf(""%d"",D-P/2);
return 0;
}",0.0,"#include<stdio.h>
main()
{
int varb_0,varb_1;
scanf(""%d %d"",&varb_0,&varb_1);
if(varb_1==3)printf(""%d"",varb_0-1);
else printf(""%d"",varb_0-varb_1/2);
return 0;
}",7
1,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
int main()
{
	int P,D;
	scanf(""%d %d"",&P,&D);
	if(P==3)
	 	D=P-1;
	else
		D=P-D/2-1;
	printf(""%d"",D);
 } ",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	scanf(""%d %d"",&varb_0,&varb_1);
	if(varb_0==3)
	 	varb_1=varb_0-1;
	else
		varb_1=varb_0-varb_1/2-1;
	printf(""%d"",varb_1);
 } ",2
2,2c9f30a56e72f8ae016e797e6670073c,"//需给一半的海盗中的其中一人两颗钻石，一半中的另外的海盗每人一颗钻石
//有三个海盗的时候，第一号只需要给另外两个人中的一个人一颗钻石就可以了
//https://blog.csdn.net/TOBEALISTENNER/article/details/79896856?utm_medium=distribute.pc_relevant.none-task-blog-BlogCommendFromMachineLearnPai2-1.control&depth_1-utm_source=distribute.pc_relevant.none-task-blog-BlogCommendFromMachineLearnPai2-1.control
#include <stdio.h>
int main()
{
    int D,P,a;
    scanf(""%d %d"",&D,&P);
        if(P==3)
           a=D-1;
        else
           a=D-(P/2-1);
        printf(""%d\n"",a);
    
    return 0;
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2;
    scanf(""%d %d"",&varb_0,&varb_1);
        if(varb_1==3)
           varb_2=varb_0-1;
        else
           varb_2=varb_0-(varb_1/2-1);
        printf(""%d\n"",varb_2);
    return 0;
}",9
3,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
int main()
{
	int P,D;
	scanf(""%d %d"",&P,&D);
	if(P==3)
	 	D=2;
	else
		D=P-D/2-1;
	printf(""%d"",D);
 } ",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	scanf(""%d %d"",&varb_0,&varb_1);
	if(varb_0==3)
	 	varb_1=2;
	else
		varb_1=varb_0-varb_1/2-1;
	printf(""%d"",varb_1);
 } ",2
4,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
int main()
{
     int d,p;
     scanf(""%d %d"",&d,&p);
     if(p==3)
     printf(""%d"",d-1);
     else 
     {
     if(p%2==0)
     printf(""%d"",d-p/2-1);
     else 
     printf(""%d"",d-(p+1)/2-1);
     }
     }",0.0,"#include<stdio.h>
int main()
{
     int varb_0,varb_1;
     scanf(""%d %d"",&varb_0,&varb_1);
     if(varb_1==3)
     printf(""%d"",varb_0-1);
     else 
     {
     if(varb_1%2==0)
     printf(""%d"",varb_0-varb_1/2-1);
     else 
     printf(""%d"",varb_0-(varb_1+1)/2-1);
     }
     }",2
5,2c9f30a56e72f8ae016e797e6670073c,"//需给一半的海盗中的其中一人两颗钻石，一半中的另外的海盗每人一颗钻石
//有三个海盗的时候，第一号只需要给另外两个人中的一个人一颗钻石就可以了
#include <stdio.h>
int main()
{
    int D, P;
    while(scanf(""%d %d"",&D,&P))
    {
        int a;
        if(P==3)
           a=D-P/2;
        else
           a=D-P/2-1;
        printf(""%d\n"",a);
    }
    return 0;
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0, varb_1;
    while(scanf(""%d %d"",&varb_0,&varb_1))
    {
        int varb_2;
        if(varb_1==3)
           varb_2=varb_0-varb_1/2;
        else
           varb_2=varb_0-varb_1/2-1;
        printf(""%d\n"",varb_2);
    }
    return 0;
}",5
6,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
#define SIZE 100
 
int dNum[SIZE]={0}; 
int D,P;
 
int getOverHalf(int i,int D)
{
	int m=D-i+1;
	if(m%2==0)
		return m/2+1;
	else
		return (m+1)/2;
}
 
int allocat(int from,int to,int num)
{
	int i=0,j,minIndex;
	int sum=0;
	int isAlloc[SIZE]={0};
	for(i=0;i<num;i++)
	{
		minIndex=from-1; 
		for(j=from;j<=to;j++) 
		{
			if(isAlloc[j]==1)
				continue;
			if(dNum[j]<dNum[minIndex])
				minIndex=j;
		}
		dNum[minIndex]++;
		sum+=dNum[minIndex];
		isAlloc[minIndex]=1;
	}
 
	for(i=from;i<=to;i++)
	{
		if(isAlloc[i]==0)
			dNum[i]=0;
	}
	return sum;
}
 
 
int main()
{
	scanf(""%d%d"",&D,&P);

	dNum[P-2]=D-1;
	dNum[P-1]=1;
	dNum[P]=0;
 
	int i,j;
	int all;
	int overHalf;
	for(i=P-3;i>=1;i--)
	{
		overHalf=getOverHalf(i,P);
		overHalf-=1;
		int cost=allocat(i+2,P,overHalf);
		dNum[i+1]=0;
		dNum[i]=D-cost;
	}
	printf(""%d"",dNum[1]);
}",0.0,"#include<stdio.h>
#define SIZE 100
int varb_0[SIZE]={0}; 
int varb_1,varb_2;
int func_0(int varb_3,int varb_1)
{
	int varb_5=varb_1-varb_3+1;
	if(varb_5%2==0)
		return varb_5/2+1;
	else
		return(varb_5+1)/2;
}
int func_1(int varb_8,int varb_9,int varb_10)
{
	int varb_3=0,varb_12,varb_13;
	int varb_14=0;
	int varb_15[SIZE]={0};
	for(varb_3=0;varb_3<varb_10;varb_3++)
	{
		varb_13=varb_8-1; 
		for(varb_12=varb_8;varb_12<=varb_9;varb_12++) 
		{
			if(varb_15[varb_12]==1)
				continue;
			if(varb_0[varb_12]<varb_0[varb_13])
				varb_13=varb_12;
		}
		varb_0[varb_13]++;
		varb_14+=varb_0[varb_13];
		varb_15[varb_13]=1;
	}
	for(varb_3=varb_8;varb_3<=varb_9;varb_3++)
	{
		if(varb_15[varb_3]==0)
			varb_0[varb_3]=0;
	}
	return varb_14;
}
int main()
{
	scanf(""%d%d"",&varb_1,&varb_2);
	varb_0[varb_2-2]=varb_1-1;
	varb_0[varb_2-1]=1;
	varb_0[varb_2]=0;
	int varb_3,varb_12;
	int varb_18;
	int varb_19;
	for(varb_3=varb_2-3;varb_3>=1;varb_3--)
	{
		varb_19=func_0(varb_3,varb_2);
		varb_19-=1;
		int varb_20=func_1(varb_3+2,varb_2,varb_19);
		varb_0[varb_3+1]=0;
		varb_0[varb_3]=varb_1-varb_20;
	}
	printf(""%d"",varb_0[1]);
}",2
7,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
int main()
{
int d,p;
scanf(""%d%d"",&d,&p);
if(p==3)
printf(""%d"",d);
else printf(""%d"",d-p/2-1);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1;
scanf(""%d%d"",&varb_0,&varb_1);
if(varb_1==3)
printf(""%d"",varb_0);
else printf(""%d"",varb_0-varb_1/2-1);
return 0;
}",7
8,2c9f30a56e72f8ae016e797e6670073c,"#include <stdio.h>
int main()
{
    int D, P;
    while(scanf(""%d %d"",&D,&P))
    {
        int a;
        if(P == 3)
            a = D-P/2;
        else
            a = D-(P)/2-1;
        printf(""%d\n"",a);
    }
    return 0;
}",0.0,"#include <stdio.h>
int main()
{
    int varb_0, varb_1;
    while(scanf(""%d %d"",&varb_0,&varb_1))
    {
        int varb_2;
        if(varb_1 == 3)
            varb_2 = varb_0-varb_1/2;
        else
            varb_2 = varb_0-(varb_1)/2-1;
        printf(""%d\n"",varb_2);
    }
    return 0;
}",5
9,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
#define SIZE 100
 
int dNum[SIZE]={0}; 
int D,P;
 
int getOverHalf(int i,int D)
{
	int m=D-i+1;
	if(m%2==0)
		return m/2+1;
	else
		return (m+1)/2;
}
 
int allocat(int from,int to,int num)
{
	int i=0,j,minIndex;
	int sum=0;
	int isAlloc[SIZE]={0};
	for(i=0;i<num;i++)
	{
		minIndex=from-1; 
		for(j=from;j<=to;j++) 
		{
			if(isAlloc[j]==1)
				continue;
			if(dNum[j]<dNum[minIndex])
				minIndex=j;
		}
		dNum[minIndex]++;
		sum+=dNum[minIndex];
		isAlloc[minIndex]=1;
	}
 
	for(i=from;i<=to;i++)
	{
		if(isAlloc[i]==0)
			dNum[i]=0;
	}
	return sum;
}
 
 
int main()
{
	scanf(""%d%d"",&D,&P);

	dNum[P-2]=D-1;
	dNum[P-1]=1;
	dNum[P]=0;
 
	int i,j;
	int all;
	int overHalf;
	for(i=P-3;i>=1;i--)
	{
		overHalf=getOverHalf(i,P);
		overHalf-=1;
		int cost=allocat(i+2,P,overHalf);
		dNum[i+1]=0;
		dNum[i]=D-cost;
	}
	printf(""%d"",dNum[1]);
}",0.0,"#include<stdio.h>
#define SIZE 100
int varb_0[SIZE]={0}; 
int varb_1,varb_2;
int func_0(int varb_3,int varb_1)
{
	int varb_5=varb_1-varb_3+1;
	if(varb_5%2==0)
		return varb_5/2+1;
	else
		return(varb_5+1)/2;
}
int func_1(int varb_8,int varb_9,int varb_10)
{
	int varb_3=0,varb_12,varb_13;
	int varb_14=0;
	int varb_15[SIZE]={0};
	for(varb_3=0;varb_3<varb_10;varb_3++)
	{
		varb_13=varb_8-1; 
		for(varb_12=varb_8;varb_12<=varb_9;varb_12++) 
		{
			if(varb_15[varb_12]==1)
				continue;
			if(varb_0[varb_12]<varb_0[varb_13])
				varb_13=varb_12;
		}
		varb_0[varb_13]++;
		varb_14+=varb_0[varb_13];
		varb_15[varb_13]=1;
	}
	for(varb_3=varb_8;varb_3<=varb_9;varb_3++)
	{
		if(varb_15[varb_3]==0)
			varb_0[varb_3]=0;
	}
	return varb_14;
}
int main()
{
	scanf(""%d%d"",&varb_1,&varb_2);
	varb_0[varb_2-2]=varb_1-1;
	varb_0[varb_2-1]=1;
	varb_0[varb_2]=0;
	int varb_3,varb_12;
	int varb_18;
	int varb_19;
	for(varb_3=varb_2-3;varb_3>=1;varb_3--)
	{
		varb_19=func_0(varb_3,varb_2);
		varb_19-=1;
		int varb_20=func_1(varb_3+2,varb_2,varb_19);
		varb_0[varb_3+1]=0;
		varb_0[varb_3]=varb_1-varb_20;
	}
	printf(""%d"",varb_0[1]);
}",2
10,2c9f30a56e72f8ae016e797e6670073c,"#include<stdio.h>
int main()
{
	int P,D;
	scanf(""%d %d"",&D,&P);
	if(P==3)
	 	D=P-1;
	else
		D=P-D/2-1;
	printf(""%d"",D);
 } ",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	scanf(""%d %d"",&varb_1,&varb_0);
	if(varb_0==3)
	 	varb_1=varb_0-1;
	else
		varb_1=varb_0-varb_1/2-1;
	printf(""%d"",varb_1);
 } ",4
