,id,code,is_true,format_code,errorline
0,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
	float a,b,c,s,area,perimeter;
	scanf(""%f%f%f"",&a,&b,&c);
	if(a+b>c && a+c>b && b+c>a)
	{
	    perimeter=a+b+c;
    	s=(a+b+c)/2.0;
	    area=sqrt(s*(s-a)*(s-b)*(s-c));
	    printf(""area=%.2f,perimeter=%.2f"",area,perimeter);
    }
    else
	{
		printf(""These sides do not correspond to a valid triangle"");
	} 
	 return 0;
 } ",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	float varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
	scanf(""%f%f%f"",&varb_0,&varb_1,&varb_2);
	if(varb_0+varb_1>varb_2 && varb_0+varb_2>varb_1 && varb_1+varb_2>varb_0)
	{
	    varb_5=varb_0+varb_1+varb_2;
    	varb_3=(varb_0+varb_1+varb_2)/2.0;
	    varb_4=sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
	    printf(""area=%.2f,varb_5=%.2f"",varb_4,varb_5);
    }
    else
	{
		printf(""These sides do not correspond to varb_0 valid triangle"");
	} 
	 return 0;
 } ",12
1,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include <stdio.h>
#include <math.h>
int main()
{
	int a,b,c;
	float s,area;
	scanf(""%d %d %d"",&a,&b,&c);
	s=(a+b+c)/2.0;
	if(a+b>c||b+c>a||a+c>b)
	{
		area=sqrt(s*(s-a)*(s-b)*(s-c));
		printf(""area = %.2f;perimeter = %.2f"",area,2*s);
	}
	else
		printf(""These sides do not correspond to a valid triangle"");
	return 0;
}",0.0,"#include <stdio.h>
#include <math.h>
int main()
{
	int varb_0,varb_1,varb_2;
	float varb_3,varb_4;
	scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
	varb_3=(varb_0+varb_1+varb_2)/2.0;
	if(varb_0+varb_1>varb_2||varb_1+varb_2>varb_0||varb_0+varb_2>varb_1)
	{
		varb_4=sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
		printf(""area = %.2f;perimeter = %.2f"",varb_4,2*varb_3);
	}
	else
		printf(""These sides do not correspond to varb_0 valid triangle"");
	return 0;
}",9
2,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include <stdio.h>
#include <math.h>
int main()
{
	int a,b,c;
    float area,perimeter,s;
	scanf(""%d %d %d"",&a,&b,&c);
	if(a+b>c&&a+c>b&&b+c>a){
		s=(s+b+c)/2;
		perimeter=a+b+c;
		area=sqrt(s*(s-a)*(s-b)*(s-c));
		printf(""area = %.2f; perimeter = %.2f"",area,perimeter);
	}
	else
		printf(""These sides do not correspond to a valid triangle"");
		
	return 0;
}",0.0,"#include <stdio.h>
#include <math.h>
int main()
{
	int varb_0,varb_1,varb_2;
    float varb_3,varb_4,varb_5;
	scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
	if(varb_0+varb_1>varb_2&&varb_0+varb_2>varb_1&&varb_1+varb_2>varb_0){
		varb_5=(varb_5+varb_1+varb_2)/2;
		varb_4=varb_0+varb_1+varb_2;
		varb_3=sqrt(varb_5*(varb_5-varb_0)*(varb_5-varb_1)*(varb_5-varb_2));
		printf(""area = %.2f; varb_4 = %.2f"",varb_3,varb_4);
	}
	else
		printf(""These sides do not correspond to varb_0 valid triangle"");
	return 0;
}",5
3,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>

int main()
{
   int a,b,c;
   scanf(""%d %d %d"",&a,&b,&c);
   
   int s;
   s=(a+b+c)/2.00;
   
   double area,perimeter;
   
   area=pow(s*(s-a)*(s-b)*(s-c),0.5);
   perimeter=(a+b+c)*1.0;
   
   if(a+b>c&&a+c>b&&b+c>a)
       printf(""area = %.2f;perimeter = %.2f"",area,perimeter);
       
   else
       printf(""These sides do not correspond to a valid triangle"");
       
   return 0;
}
   
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
   int varb_3;
   varb_3=(varb_0+varb_1+varb_2)/2.00;
   double varb_4,varb_5;
   varb_4=pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5);
   varb_5=(varb_0+varb_1+varb_2)*1.0;
   if(varb_0+varb_1>varb_2&&varb_0+varb_2>varb_1&&varb_1+varb_2>varb_0)
       printf(""area = %.2f;varb_5 = %.2f"",varb_4,varb_5);
   else
       printf(""These sides do not correspond to varb_0 valid triangle"");
   return 0;
}
",7
4,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
float a,b,c,s;            
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if (a+b<=c&&a+c<=b&&b+c<=a)printf(""These sides do not correspond to a valid triangle"");
 else printf(""area = %.2f; perimeter = %.2f"",pow(s*(s-a)*(s-b)*(s-c),0.5),a+b+c);
  return 0;
  }
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;            
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1<=varb_2&&varb_0+varb_2<=varb_1&&varb_1+varb_2<=varb_0)printf(""These sides do not correspond to varb_0 valid triangle"");
 else printf(""area = %.2f; perimeter = %.2f"",pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5),varb_0+varb_1+varb_2);
  return 0;
  }
",8
5,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
float a,b,c,s;
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if(a+b<=c,a+c<=b)  printf(""These sides do not correspond to a valid triangle"");  
else  printf(""area =%.2f;perimeter =%.2f"",pow(s*(s-a)*(s-b)*(s-c),0.5),a+b+c); 
return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1<=varb_2,varb_0+varb_2<=varb_1)  printf(""These sides do not correspond to varb_0 valid triangle"");  
else  printf(""area =%.2f;perimeter =%.2f"",pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5),varb_0+varb_1+varb_2); 
return 0;
}",8
6,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main(void)
{
float a,b,c;
float area,perimeter;
float s;
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if(a+b>c||a+c>b||b+c>a)
 printf(""area=%.2f; perimeter=%.2f"",area=sqrt(s*(s-a)*(s-b)*(s-c)),perimeter=a+b+c);
else 
printf(""These sides do not correspond to a valid triangle"");
 return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main(void)
{
float varb_0,varb_1,varb_2;
float varb_3,varb_4;
float varb_5;
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_5=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1>varb_2||varb_0+varb_2>varb_1||varb_1+varb_2>varb_0)
 printf(""area=%.2f; varb_4=%.2f"",varb_3=sqrt(varb_5*(varb_5-varb_0)*(varb_5-varb_1)*(varb_5-varb_2)),varb_4=varb_0+varb_1+varb_2);
else 
printf(""These sides do not correspond to varb_0 valid triangle"");
 return 0;
}",10
7,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>

#include<math.h>

int main()

{

int a,b,c;

double area,perimeter,s;

scanf(""%d %d %d"",&a,&b,&c);

if(a+b>c && a+c>b && b+c>a)

{

perimeter=a+b+c;

s=(a+b+c)/2;

area=sqrt(s*(s-a)*(s-b)*(s-c));

printf(""area=%.2f;perimeter=%.2f"",area,perimeter);

}

else

{

printf(""These sides do not correspond to a valid triangle"");

}

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
int varb_0,varb_1,varb_2;
double varb_3,varb_4,varb_5;
scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
if(varb_0+varb_1>varb_2 && varb_0+varb_2>varb_1 && varb_1+varb_2>varb_0)
{
varb_4=varb_0+varb_1+varb_2;
varb_5=(varb_0+varb_1+varb_2)/2;
varb_3=sqrt(varb_5*(varb_5-varb_0)*(varb_5-varb_1)*(varb_5-varb_2));
printf(""area=%.2f;varb_4=%.2f"",varb_3,varb_4);
}
else
{
printf(""These sides do not correspond to varb_0 valid triangle"");
}
}",11
8,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{    
    double a,b,c;
    double s=0.0,area=0.0;
    scanf(""%lf %lf %lf"",&a,&b,&c);
    if((a+b<=c)||(a+c<=b)||(b+c)<=a)
    {
        printf(""These sides do not correspond to a valid triangle\n"");
        return 0;
    };
    s=0.5*(a+b+c);
    area=sqrt(s*(s-a)*(s-b)*(s-c));
    printf(""area = &.2lf;perimeter = %.2lf\n"",area,a+b+c);
    return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{    
    double varb_0,varb_1,varb_2;
    double varb_3=0.0,area=0.0;
    scanf(""%lf %lf %lf"",&varb_0,&varb_1,&varb_2);
    if((varb_0+varb_1<=varb_2)||(varb_0+varb_2<=varb_1)||(varb_1+varb_2)<=varb_0)
    {
        printf(""These sides do not correspond to varb_0 valid triangle\n"");
        return 0;
    };
    varb_3=0.5*(varb_0+varb_1+varb_2);
    area=sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
    printf(""area = &.2lf;perimeter = %.2lf\n"",area,varb_0+varb_1+varb_2);
    return 0;
}",15
9,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
  double a,b,c,s,area,perimeter;
  scanf (""%d %d %d"",&a,&b,&c);
  if (a+b>c&&b+c>a&&a+c>b)
  {
    s=(a+b+c)/2;
    area==sqrt(s*(s-a)*(s-b)*(s-c));
    perimeter==a+b+c;
    printf (""area=%.2d;perimrter=%.2d"",area,perimeter);
    }   
    else
   { printf (""These sides do not correspond to a valid triangle"");}
    
    return 0;
    }
      ",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
  double varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
  scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
  if(varb_0+varb_1>varb_2&&varb_1+varb_2>varb_0&&varb_0+varb_2>varb_1)
  {
    varb_3=(varb_0+varb_1+varb_2)/2;
    varb_4==sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
    varb_5==varb_0+varb_1+varb_2;
    printf(""area=%.2d;perimrter=%.2d"",varb_4,varb_5);
    }   
    else
   { printf(""These sides do not correspond to varb_0 valid triangle"");}
    return 0;
    }
",5
