,id,code,is_true,errorline
0,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{int varb_0,varb_1;
varb_0=5*(varb_1-32)/9;
printf(""fahr=100,celsius=计算所得摄氏温度的整数值"");
return 0;}",0.0,3
1,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{
	int varb_0,varb_1;
	varb_1=100;
	varb_0=5*(varb_1-32)/9;
	printf(""feahr=%d, celsius=%d"",varb_1,varb_0);
    return 0;
 } ",0.0,7
2,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{float varb_0,varb_1; 
  varb_0=100;
  varb_1=5*(varb_0-32)/9;
   printf(""fahr=100,varb_1=%f"",varb_1);
return 0;
}",0.0,3
3,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{
    int varb_0=100;
    int varb_1;
    varb_1=5*(varb_0-32)/9;
    printf(""fahr=100,Celsius=%d"",varb_1);
    return 0;
}",0.0,7
4,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{
 int varb_0,varb_1;
 scanf(""%d"",&varb_1);
 varb_0=5*(varb_1-32)/9;
 printf(""fahr = %d,celcius = %d"",varb_1,varb_0);
    return 0;
}",0.0,4
5,2c9f30a57c74a921017c77826f1306c7,"#include <stdio.h>
int main()
{
float varb_0;
float varb_1;
varb_1=100;
varb_0=5.0/9.0*(varb_1-32.0);
printf(""fahr=100,varb_0=38"",varb_1,varb_0);
return 0;
}",0.0,5
6,2c9f30a57c74a921017c77826f1306c7," #include<stdio.h>
 int main()
 {
 int varb_0;
 scanf(""%d"",&varb_0);
 int varb_1;
 varb_1=5*(varb_0-32)/9;
 printf(""fahr=100,celsius=%d"",varb_1);
 return 0;
 }",0.0,8
7,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{ int varb_0,varb_1=100;
  varb_0=5*(varb_1-32)/9;
  printf(""fathr = %d,celsius = %d"",varb_1,varb_0);
  return 0;
}",0.0,5
8,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int varb_0=100,C;
int main()
{
    C=5*(varb_0-32)/9;
  printf(""%d"",C);
    return 0;
 }
",0.0,6
9,2c9f30a57c74a921017c77826f1306c7,"#include<stdio.h>
int main()
{
int varb_0=100;
int varb_1=5*(varb_0-32)/9;
printf(""%d"",varb_1);
return 0;
}",0.0,3
