,id,code,is_true,format_code,errorline
0,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>
int main()
{
  int a,b,c,i,n;
  i=1;
  
  scanf(""%d"",&n);
  for(a=n;a<=33;a++)
  {
   
   
   for(b=0;b<=50;b++)
   { 
    for(c=0;c<=200;c++)
    {
     if(3*a+2*b+0.5*c==100&&a+b+c==100)
     {
      printf(""case %d:大马%2d匹 中马%2d匹 小马%2d匹\n"",i,a,b,c);
      i++;
      
      }
      }
      }
      }
      
      if(i==1)
      printf(""没有找到符合条件组合"");
      return 0;
      }
      
     ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3,varb_4;
  varb_3=1;
  scanf(""%d"",&varb_4);
  for(varb_0=varb_4;varb_0<=33;varb_0++)
  {
   for(varb_1=0;varb_1<=50;varb_1++)
   { 
    for(varb_2=0;varb_2<=200;varb_2++)
    {
     if(3*varb_0+2*varb_1+0.5*varb_2==100&&varb_0+varb_1+varb_2==100)
     {
      printf(""case %d:大马%2d匹 中马%2d匹 小马%2d匹\n"",varb_3,varb_0,varb_1,varb_2);
      varb_3++;
      }
      }
      }
      }
      if(varb_3==1)
      printf(""没有找到符合条件组合"");
      return 0;
      }
",22
1,2c911d616dea44ae016e0c9808e04991,"#include <stdio.h>
int main()
{
    int a,b,c,n;
    int cru=0;
    scanf(""%d"",&n);
    for(a=1;
    a<=20;
    a++)
    {
        b=(100-5*a)/3;
        c=100-a-b;
        if(a>=n&&b%5==0)
        {
            cru++;
            printf(""case %d:大马=%2d 中马=%2d 小马=%2d\n"",cru,a,b,c);
        }
    }
    if(n>20)
    printf(""没有找到符合条件的情况"");
}
",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    int varb_4=0;
    scanf(""%d"",&varb_3);
    for(varb_0=1;
    varb_0<=20;
    varb_0++)
    {
        varb_1=(100-5*varb_0)/3;
        varb_2=100-varb_0-varb_1;
        if(varb_0>=varb_3&&varb_1%5==0)
        {
            varb_4++;
            printf(""case %d:大马=%2d 中马=%2d 小马=%2d\n"",varb_4,varb_0,varb_1,varb_2);
        }
    }
    if(varb_3>20)
    printf(""没有找到符合条件的情况"");
}
",16
2,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>

int main()
{
  int a,b,c,n,i=1;
  scanf(""%d"",&n);
  for(a=0;a<34;a++)
   { for(b=0;b<=50;b++)
     {
      c=100-a-b; 
    if(3*a+2*b+c/2==100&&a>=n&&c%2==0) 
      printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",i++,a,b,c);
    }
    
    }
  return 0;
} 
    
    
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3,varb_4=1;
  scanf(""%d"",&varb_3);
  for(varb_0=0;varb_0<34;varb_0++)
   { for(varb_1=0;varb_1<=50;varb_1++)
     {
      varb_2=100-varb_0-varb_1; 
    if(3*varb_0+2*varb_1+varb_2/2==100&&varb_0>=varb_3&&varb_2%2==0) 
      printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",varb_4++,varb_0,varb_1,varb_2);
    }
    }
  return 0;
} 
",10
3,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>

int main()

{

int n, a, b, c,flag,i = 1;

float total;

scanf(""%d"",&n);

if(n<34)

 {

 for(a=n;a<34;a++){

   for(b=0;b<=50;b++){

     for(c=0;c<=100;c++){

	  flag=a+b+c;

	  total=3*a+2*b+c*0.5;

      if(flag==100 && total==100){

        printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",i,a,b,c);

		i++; 

       }

           //printf(""没有找到符合条件的组合"");

      }

  }

}

}else{

	printf(""没有找到符合条件的组合"");

} 

 return 0;

}",0.0,"#include<stdio.h>
int main()
{
int varb_0, varb_1, varb_2, varb_3,varb_4,varb_5 = 1;
float varb_6;
scanf(""%d"",&varb_0);
if(varb_0<34)
 {
 for(varb_1=varb_0;varb_1<34;varb_1++){
   for(varb_2=0;varb_2<=50;varb_2++){
     for(varb_3=0;varb_3<=100;varb_3++){
	  varb_4=varb_1+varb_2+varb_3;
	  varb_6=3*varb_1+2*varb_2+varb_3*0.5;
      if(varb_4==100 && varb_6==100){
        printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",varb_5,varb_1,varb_2,varb_3);
		varb_5++; 
       }
      }
  }
}
}else{
	printf(""没有找到符合条件的组合"");
} 
 return 0;
}",21
4,2c911d616dea44ae016e0c9808e04991,"#include <stdio.h>
int main()
{
	int a,b,c,sum,n,count1=0;
	scanf(""%d"",&n);
	if(a<=20)
    {
	    for (a=0;a<=20;a++)
        {
    	    for(b=50;b>=0;b--)
    	    {
    		    c=100-a-b;
    		    if (c%2!=0) continue;
    	        sum=3*a+2*b+c/2;
    		    if(sum==100&&a>=n)
    		    {
				    count1++;
			        printf(""case%d:大马%d匹 中马%d匹 小马%d匹\n"",count1,a,b,c);
		        }
			}
        }
    }
    else
    printf(""没有找到符合条件的组合"");
	return 0;
}

",0.0,"#include <stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5=0;
	scanf(""%d"",&varb_4);
	if(varb_0<=20)
    {
	    for(varb_0=0;varb_0<=20;varb_0++)
        {
    	    for(varb_1=50;varb_1>=0;varb_1--)
    	    {
    		    varb_2=100-varb_0-varb_1;
    		    if(varb_2%2!=0) continue;
    	        varb_3=3*varb_0+2*varb_1+varb_2/2;
    		    if(varb_3==100&&varb_0>=varb_4)
    		    {
				    varb_5++;
			        printf(""case%d:大马%d匹 中马%d匹 小马%d匹\n"",varb_5,varb_0,varb_1,varb_2);
		        }
			}
        }
    }
    else
    printf(""没有找到符合条件的组合"");
	return 0;
}
",6
5,2c911d616dea44ae016e0c9808e04991,"#include <stdio.h>
int main()
{
    int a,b,c,n;
    int cru=0;
    scanf(""%d"",&n);
    for(a=1;
    a<=20;
    a++)
    {
        b=(100-5*a)/3;
        c=100-a-b;
        if(a>=n&&b%5==0)
        {
            cru++;
            printf(""case%d :大马=%2d匹 中马= %2d匹 小马=%2d匹\n"",cru,a,b,c);
        }
    }
    if(n>20)
    printf(""没有找到符合条件的组合"");
}
",0.0,"#include <stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    int varb_4=0;
    scanf(""%d"",&varb_3);
    for(varb_0=1;
    varb_0<=20;
    varb_0++)
    {
        varb_1=(100-5*varb_0)/3;
        varb_2=100-varb_0-varb_1;
        if(varb_0>=varb_3&&varb_1%5==0)
        {
            varb_4++;
            printf(""case%d :大马=%2d匹 中马= %2d匹 小马=%2d匹\n"",varb_4,varb_0,varb_1,varb_2);
        }
    }
    if(varb_3>20)
    printf(""没有找到符合条件的组合"");
}
",16
6,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>
int main()
{
    int n,a,b,d;
    d=0;
    double c,e;
    scanf(""%d"",&n);
    for(a=1; a>=n&&a<=100; a++)
    {
        for(b=0; b<=100; b++)
        {
            for(c=0; c<=100; c++)
            {
                e=c/2;
                if(a+b+c==100 && a*3+b*2+e==100)
                {
                    d+=1;
                    printf(""case %d:大 马%2d匹 中马%2d匹 小马%.f匹\n"",d,a,b,c);
                }
            }
        }
    }
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    varb_3=0;
    double varb_4,varb_5;
    scanf(""%d"",&varb_0);
    for(varb_1=1; varb_1>=varb_0&&varb_1<=100; varb_1++)
    {
        for(varb_2=0; varb_2<=100; varb_2++)
        {
            for(varb_4=0; varb_4<=100; varb_4++)
            {
                varb_5=varb_4/2;
                if(varb_1+varb_2+varb_4==100 && varb_1*3+varb_2*2+varb_5==100)
                {
                    varb_3+=1;
                    printf(""case %d:大 马%2d匹 中马%2d匹 小马%.f匹\n"",varb_3,varb_1,varb_2,varb_4);
                }
            }
        }
    }
}",8
7,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>

int main()
{
  int a,b,c,n,i=1;
  scanf(""%d"",&n);
  for(a=0;a<34;a++)
   { for(b=0;b<=50;b++)
     {
      c=100-a-b; 
    if(3*a+2*b+c/2==100&&a>=n&&c%2==0) 
      printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",i++,a,b,c);
    }
    if(a<n)
     printf(""没有找到符合条件的组合"");
    }
  return 0;
} 
    
    
    ",0.0,"#include<stdio.h>
int main()
{
  int varb_0,varb_1,varb_2,varb_3,varb_4=1;
  scanf(""%d"",&varb_3);
  for(varb_0=0;varb_0<34;varb_0++)
   { for(varb_1=0;varb_1<=50;varb_1++)
     {
      varb_2=100-varb_0-varb_1; 
    if(3*varb_0+2*varb_1+varb_2/2==100&&varb_0>=varb_3&&varb_2%2==0) 
      printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",varb_4++,varb_0,varb_1,varb_2);
    }
    if(varb_0<varb_3)
     printf(""没有找到符合条件的组合"");
    }
  return 0;
} 
",10
8,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>

int main()
{
    int a,b,c,n,i=1;
    scanf(""%d"",&n);
    for(a=0; a<34; a++)
    {   for(b=0; b<=50; b++)
        {
            c=100-a-b;
            if(6*a+4*b+c==200&&a>=n&&c%2==0)
                printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",i++,a,b,c);
           }} if(a>n)
                 printf(""没有找到符合条件的组合"");
        
    

    return 0;
}


    ",0.0,"#include<stdio.h>
int main()
{
    int varb_0,varb_1,varb_2,varb_3,varb_4=1;
    scanf(""%d"",&varb_3);
    for(varb_0=0; varb_0<34; varb_0++)
    {   for(varb_1=0; varb_1<=50; varb_1++)
        {
            varb_2=100-varb_0-varb_1;
            if(6*varb_0+4*varb_1+varb_2==200&&varb_0>=varb_3&&varb_2%2==0)
                printf(""case %d:大马 %2d匹 中马%2d匹 小马%2d匹\n"",varb_4++,varb_0,varb_1,varb_2);
           }} if(varb_0>varb_3)
                 printf(""没有找到符合条件的组合"");
    return 0;
}
",12
9,2c911d616dea44ae016e0c9808e04991,"#include<stdio.h>
int main()
{
int a,b,c,n,k=0;
int m=1;
int i=1;
scanf(""%d"",&n);
a=n;
for(a=n;a<=33;a++)
{
for(b=50;b>=0;b--)
{
   c=100-a-b;
   if(c%2!=0)
  {
     continue;
  }
if(3*a+2*b+c/2==100)
{
  printf(""case %d:大马%2d匹 中马%2d匹 小马%2d匹\n"",m,a,b,c);
  m++;
  k++;
   if(k=0)
 printf(""没有找到符合条件的组合"");
return 0;
}
}
}

}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4=0;
int varb_5=1;
int varb_6=1;
scanf(""%d"",&varb_3);
varb_0=varb_3;
for(varb_0=varb_3;varb_0<=33;varb_0++)
{
for(varb_1=50;varb_1>=0;varb_1--)
{
   varb_2=100-varb_0-varb_1;
   if(varb_2%2!=0)
  {
     continue;
  }
if(3*varb_0+2*varb_1+varb_2/2==100)
{
  printf(""case %d:大马%2d匹 中马%2d匹 小马%2d匹\n"",varb_5,varb_0,varb_1,varb_2);
  varb_5++;
  varb_4++;
   if(varb_4=0)
 printf(""没有找到符合条件的组合"");
return 0;
}
}
}
}",23
