,id,code,is_true,format_code,errorline
0,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
    int year;
    scanf(""%d"",&year);
    if(year<0){printf(""非法输入"");return 0;}
    if(((!(year%4))&&(year%100))||!(year%400))printf(""%d是闰年"");
    else printf(""%d不是闰年"");
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    int varb_0;
    scanf(""%d"",&varb_0);
    if(varb_0<0){printf(""非法输入"");return 0;}
    if(((!(varb_0%4))&&(varb_0%100))||!(varb_0%400))printf(""%d是闰年"");
    else printf(""%d不是闰年"");
    return 0;
}",7
1,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
int a;
scanf(""%d"",&a);
if(a<0)
printf(""非法输入"");
if((a%4==0&&a%100!=0)||(a%400==0))
printf(""%d是闰年"",a);
else printf(""%d不是闰年"",a);
}

",0.0,"#include<stdio.h>
int main()
{
int varb_0;
scanf(""%d"",&varb_0);
if(varb_0<0)
printf(""非法输入"");
if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
printf(""%d是闰年"",varb_0);
else printf(""%d不是闰年"",varb_0);
}
",6
2,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
  int year;

  scanf(""%d"",&year);
   if((year%4==0&&year%100!=0)||(year%400==0))
    printf(""%d是闰年"",year);
   else
    printf(""%d不是闰年"",year);
    
    return 0;
	
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
   if((varb_0%4==0&&varb_0%100!=0)||(varb_0%400==0))
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
    return 0;
}",4
3,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
   int a,b,c;
   scanf(""%d"",&a);
   if(a<0)
    printf(""输入错误显示非法输入"");
   if(a%4==0||a%400!=0)
    printf(""%d是闰年"",a);
   else
    printf(""%d不是闰年"",a);
   




}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d"",&varb_0);
   if(varb_0<0)
    printf(""输入错误显示非法输入"");
   if(varb_0%4==0||varb_0%400!=0)
    printf(""%d是闰年"",varb_0);
   else
    printf(""%d不是闰年"",varb_0);
}",7
4,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
#include<math.h>
int main()
{
   int a;
   scanf(""%d"",&a);
   if(a%4==0)
      printf(""%d是闰年"",a);
   else if(a%4!=0)
      printf(""%d不是闰年"",a);
   else
      printf(""非法输入"");
   return 0;         
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(varb_0%4==0)
      printf(""%d是闰年"",varb_0);
   else if(varb_0%4!=0)
      printf(""%d不是闰年"",varb_0);
   else
      printf(""非法输入"");
   return 0;         
}
",5
5,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int year;
	scanf(""%d"",&year);
	if(year%4==0)
	{
		if(year%100==0&&year%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",year);
	}
	else
    printf(""%d不是闰年"",year);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0%4==0)
	{
		if(varb_0%100==0&&varb_0%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",varb_0);
	}
	else
    printf(""%d不是闰年"",varb_0);
	return 0;
}",6
6,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
int n;
scanf(""%d"",&n);
if(n%4==0)
printf(""%d年份是闰年"",n);
else if(n%4!=0)
printf(""%d该年份不是闰年"",n);
else
printf(""非法输入"");
return 0;
}
",0.0,"#include <stdio.h>
int main()
{
int varb_0;
scanf(""%d"",&varb_0);
if(varb_0%4==0)
printf(""%d年份是闰年"",varb_0);
else if(varb_0%4!=0)
printf(""%d该年份不是闰年"",varb_0);
else
printf(""非法输入"");
return 0;
}
",4
7,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>
int main()
{
	int year;
	scanf(""%d"",&year);
	if(year<0)
	printf(""非法错误"");
	else if(year%4==0)
	{
		if(year%100==0&&year%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",year);
	}
	else
    printf(""%d不是闰年"",year);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0;
	scanf(""%d"",&varb_0);
	if(varb_0<0)
	printf(""非法错误"");
	else if(varb_0%4==0)
	{
		if(varb_0%100==0&&varb_0%400==0)
		printf(""非法错误"");
		else printf(""%d是闰年"",varb_0);
	}
	else
    printf(""%d不是闰年"",varb_0);
	return 0;
}",7
8,2c911d616dcd1421016dd2cc121f1635,"#include <stdio.h>
int main()
{
   int n;
   scanf(""%d"",&n);
   if (((n%100!=0) && (n%4==0)) || ( n % 400==0) )
    printf(""%d是闰年"",n);
    else if (n%4!=0)
    printf(""%d不是闰年"",n) ;
    if(n<=0)
    printf(""非法输入"");
 
 return 0;
 }
",0.0,"#include <stdio.h>
int main()
{
   int varb_0;
   scanf(""%d"",&varb_0);
   if(((varb_0%100!=0) &&(varb_0%4==0)) ||( varb_0 % 400==0) )
    printf(""%d是闰年"",varb_0);
    else if(varb_0%4!=0)
    printf(""%d不是闰年"",varb_0) ;
    if(varb_0<=0)
    printf(""非法输入"");
 return 0;
 }
",6
9,2c911d616dcd1421016dd2cc121f1635,"#include<stdio.h>

int main()
{
  int year;
  scanf(""%d"",&year);
 if(year%4!=0)
  printf(""%d不是闰年"",year);
  else if(year%4==0 && year%100!=0)
   printf(""%d是闰年"");  
  else if(year%4==0 && year%100==0 && year%400==0)
   printf(""%d是闰年"");
 else
  printf(""非法输入"");
  
  
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  scanf(""%d"",&varb_0);
 if(varb_0%4!=0)
  printf(""%d不是闰年"",varb_0);
  else if(varb_0%4==0 && varb_0%100!=0)
   printf(""%d是闰年"");  
  else if(varb_0%4==0 && varb_0%100==0 && varb_0%400==0)
   printf(""%d是闰年"");
 else
  printf(""非法输入"");
  return 0;
}",6
