,id,code,is_true,format_code,errorline
0,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include <stdio.h>

double sum(int,int);

double ji1(int,int,int,int);

double ji2(int,int,int,int);

int main()

{

    int x1,y1,x2,y2;

    scanf(""%d %d %d %d"",&x1,&y1,&x2,&y2);

    printf(""addition of complex is %.6lf+%.6lfi"",sum(x1,x2),sum(y1,y2)),

    printf(""product of complex is %.6lf+%.6lfi"",ji1(x1,y1,x2,y2),ji2(x1,y1,x2,y2));

    return 0;

}

double sum(int a,int b)

{

    return a+b;

}

double ji1(int a,int b,int c,int d)

{

    return a*c-b*d;

}

double ji2(int a,int b,int c,int d)

{

    return a*d+c*b;

}

    

",0.0,"#include <stdio.h>
double func_0(int,int);
double func_1(int,int,int,int);
double func_2(int,int,int,int);
int main()
{
    int varb_0,varb_1,varb_2,varb_3;
    scanf(""%d %d %d %d"",&varb_0,&varb_1,&varb_2,&varb_3);
    printf(""addition of complex is %.6lf+%.6lfi"",func_0(varb_0,varb_2),func_0(varb_1,varb_3)),
    printf(""product of complex is %.6lf+%.6lfi"",func_1(varb_0,varb_1,varb_2,varb_3),func_2(varb_0,varb_1,varb_2,varb_3));
    return 0;
}
double func_0(int varb_4,int varb_5)
{
    return varb_4+varb_5;
}
double func_1(int varb_4,int varb_5,int varb_10,int varb_11)
{
    return varb_4*varb_10-varb_5*varb_11;
}
double func_2(int varb_4,int varb_5,int varb_10,int varb_11)
{
    return varb_4*varb_11+varb_10*varb_5;
}
",9
1,2c9f30a56e7cdc12016ea1c9d2a7360b,"

#include <stdio.h>

void Z(int a,int b,int c,int d);

void C(int a,int b,int c,int d);

int main()

{

	float a,b,c,d;

	scanf(""%f %f %f %f"",&a,&b,&c,&d);

	(a,b,c,d);

	(a,b,c,d);

}

void Z(int a,int b,int c,int d)

{

	float n,g;

	n=a+c;

	g=b+d;

	printf(""addition of complex is %.6f+%.6fi\n"",n,g);

}

void C(int a,int b,int c,int d)

{

	float n,g;

	n=a*c-b*d;

	g=a*d+b*c;

	printf(""product of complex is %.6f+%.6fi"",n,g);

}",0.0,"#include <stdio.h>
void func_0(int varb_0,int varb_1,int varb_2,int varb_3);
void func_2(int varb_0,int varb_1,int varb_2,int varb_3);
int main()
{
	float varb_0,varb_1,varb_2,varb_3;
	scanf(""%f %f %f %f"",&varb_0,&varb_1,&varb_2,&varb_3);(varb_0,varb_1,varb_2,varb_3);(varb_0,varb_1,varb_2,varb_3);
}
void func_0(int varb_0,int varb_1,int varb_2,int varb_3)
{
	float varb_12,varb_13;
	varb_12=varb_0+varb_2;
	varb_13=varb_1+varb_3;
	printf(""addition of complex is %.6f+%.6fi\n"",varb_12,varb_13);
}
void func_2(int varb_0,int varb_1,int varb_2,int varb_3)
{
	float varb_12,varb_13;
	varb_12=varb_0*varb_2-varb_1*varb_3;
	varb_13=varb_0*varb_3+varb_1*varb_2;
	printf(""product of complex is %.6f+%.6fi"",varb_12,varb_13);
}",7
2,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
void fun1(int,int,int,int);
void fun2(int,int,int,int);
main()
{
int c1,c2,x1,x2,y1,y2;
scanf(""%d%d%d%d"",&x1,&y1,&x2,&y2);
fun1(x1,x2,y1,y2);
fun2(x1,x2,y1,y2);
return 0;
}
void fun1(int x1,int x2,int y1,int y2) 
{ 
 double i, j;
 i=x1+x2;
 j=y1+y2;
printf(""addition of complex is %.6f+%.6f\n"",i,j);
}
void fun2(int x1,int x2,int y1,int y2)
  
{
double m,n;
m=x1*x2-y1*y2;
n=x1*y2+x2*y1;
printf(""product of complex is %.6f+%.6f"",m,n);
}",0.0,"#include<stdio.h>
void func_0(int,int,int,int);
void func_1(int,int,int,int);
main()
{
int varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
scanf(""%d%d%d%d"",&varb_2,&varb_4,&varb_3,&varb_5);
func_0(varb_2,varb_3,varb_4,varb_5);
func_1(varb_2,varb_3,varb_4,varb_5);
return 0;
}
void func_0(int varb_2,int varb_3,int varb_4,int varb_5) 
{ 
 double varb_10, varb_11;
 varb_10=varb_2+varb_3;
 varb_11=varb_4+varb_5;
printf(""addition of complex is %.6f+%.6f\n"",varb_10,varb_11);
}
void func_1(int varb_2,int varb_3,int varb_4,int varb_5)
{
double varb_16,varb_17;
varb_16=varb_2*varb_3-varb_4*varb_5;
varb_17=varb_2*varb_5+varb_3*varb_4;
printf(""product of complex is %.6f+%.6f"",varb_16,varb_17);
}",17
3,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include <stdio.h>
void Z(int a,int b,int c,int d);
void C(int a,int b,int c,int d);
int main()
{
	float a,b,c,d;
	scanf(""%f %f %f %f"",&a,&b,&c,&d);
	Z(a,b,c,d);
	C(a,b,c,d);
}
void Z(int a,int b,int c,int d)
{
	float n,g;
	n=a+c;
	g=b+d;
	printf(""addition of complex is %.6f+%.6fi"",n,g);
}
void C(int a,int b,int c,int d)
{
	float n,g;
	n=a*c-b*d;
	g=a*d+b*c;
	printf(""product of complex is %.6f+%.6fi"",n,g);
}",0.0,"#include <stdio.h>
void func_0(int varb_0,int varb_1,int varb_2,int varb_3);
void func_2(int varb_0,int varb_1,int varb_2,int varb_3);
int main()
{
	float varb_0,varb_1,varb_2,varb_3;
	scanf(""%f %f %f %f"",&varb_0,&varb_1,&varb_2,&varb_3);
	func_0(varb_0,varb_1,varb_2,varb_3);
	func_2(varb_0,varb_1,varb_2,varb_3);
}
void func_0(int varb_0,int varb_1,int varb_2,int varb_3)
{
	float varb_12,varb_13;
	varb_12=varb_0+varb_2;
	varb_13=varb_1+varb_3;
	printf(""addition of complex is %.6f+%.6fi"",varb_12,varb_13);
}
void func_2(int varb_0,int varb_1,int varb_2,int varb_3)
{
	float varb_12,varb_13;
	varb_12=varb_0*varb_2-varb_1*varb_3;
	varb_13=varb_0*varb_3+varb_1*varb_2;
	printf(""product of complex is %.6f+%.6fi"",varb_12,varb_13);
}",16
4,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{float x1,x2,y1,y2,a,b,c,d;
scanf(""%f %f %f %f"",&x1,&x2,&y1,&y2);
a=x1+x2;b=y1+y2;
c=x1*x2-y1*y2;d=x1*y2+x2*y1;
printf(""addition of complex is %f+%fi"",a,b);
printf(""\naddition of complex is %f+%fi"",c,d);


}",0.0,"#include<stdio.h>
int main()
{float varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6,varb_7;
scanf(""%f %f %f %f"",&varb_0,&varb_1,&varb_2,&varb_3);
varb_4=varb_0+varb_1;varb_5=varb_2+varb_3;
varb_6=varb_0*varb_1-varb_2*varb_3;varb_7=varb_0*varb_3+varb_1*varb_2;
printf(""addition of complex is %f+%fi"",varb_4,varb_5);
printf(""\naddition of complex is %f+%fi"",varb_6,varb_7);
}",4
5,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{
double x1,y1,x2,y2;
scanf(""%f%f%f%f"",&x1,&y1,&x2,&y2);
printf(""addition of complex is %f+%fi\n"",x1+x2,y1+y2);
printf(""product of complex is %f+%fi\n"",x1*x2-y1*y2,x1*y2+y1*x2);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
double varb_0,varb_1,varb_2,varb_3;
scanf(""%f%f%f%f"",&varb_0,&varb_1,&varb_2,&varb_3);
printf(""addition of complex is %f+%fi\n"",varb_0+varb_2,varb_1+varb_3);
printf(""product of complex is %f+%fi\n"",varb_0*varb_2-varb_1*varb_3,varb_0*varb_3+varb_1*varb_2);
return 0;
}",4
6,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{
float x1,y1,x2,y2;
scanf(""%f %f %f %f"",&x1,&y1,&x2,&y2);
printf(""addition of complex is %fd+%fi\n"",(x1+x2),(y1+y2));
printf(""product of complex is %f+%fi"",x1*x2-y1*y2,x1*y2+x2*y1);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;
scanf(""%f %f %f %f"",&varb_0,&varb_1,&varb_2,&varb_3);
printf(""addition of complex is %fd+%fi\n"",(varb_0+varb_2),(varb_1+varb_3));
printf(""product of complex is %f+%fi"",varb_0*varb_2-varb_1*varb_3,varb_0*varb_3+varb_2*varb_1);
return 0;
}",4
7,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{
  float x1,y1,x2,y2;
  scanf(""%d%d%d%d"",&x1,&y1,&x2,&y2);
  printf(""addition of complex is %f+%fi\n"",x1+x2,y1+y2);
  printf(""product of complex is %f+%fi"",x1*x2-y1*y2,x1*y2+x2*y1);

}",0.0,"#include<stdio.h>
int main()
{
  float varb_0,varb_1,varb_2,varb_3;
  scanf(""%d%d%d%d"",&varb_0,&varb_1,&varb_2,&varb_3);
  printf(""addition of complex is %f+%fi\n"",varb_0+varb_2,varb_1+varb_3);
  printf(""product of complex is %f+%fi"",varb_0*varb_2-varb_1*varb_3,varb_0*varb_3+varb_2*varb_1);
}",5
8,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{
float x1,x2,y1,y2;
scanf(""%d %d %d %d"",&x1,&x2,&y1,&y2);
printf(""addition of complex is %f+%fi\n"",x1+x2,y1+y2);
printf(""product of complex is %f+%fi"",x1*x2-y1*y2,x1*y2+x2*y1);
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;
scanf(""%d %d %d %d"",&varb_0,&varb_1,&varb_2,&varb_3);
printf(""addition of complex is %f+%fi\n"",varb_0+varb_1,varb_2+varb_3);
printf(""product of complex is %f+%fi"",varb_0*varb_1-varb_2*varb_3,varb_0*varb_3+varb_1*varb_2);
}",5
9,2c9f30a56e7cdc12016ea1c9d2a7360b,"#include<stdio.h>
int main()
{float x1,x2,y1,y2,a,b,c,d;
scanf(""%f %f %f %f"",&x1,&y1,&x2,&y2);
a=x1+x2;b=y1+y2;
c=x1*x2-y1*y2;d=x1*y2+x2*y1;
printf(""addition of complex is %f+%fi"",a,b);
printf(""\naddition of complex is %f+%fi"",c,d);


}",0.0,"#include<stdio.h>
int main()
{float varb_0,varb_1,varb_2,varb_3,varb_4,varb_5,varb_6,varb_7;
scanf(""%f %f %f %f"",&varb_0,&varb_2,&varb_1,&varb_3);
varb_4=varb_0+varb_1;varb_5=varb_2+varb_3;
varb_6=varb_0*varb_1-varb_2*varb_3;varb_7=varb_0*varb_3+varb_1*varb_2;
printf(""addition of complex is %f+%fi"",varb_4,varb_5);
printf(""\naddition of complex is %f+%fi"",varb_6,varb_7);
}",8
