,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a56eaa009f016ec1c34cbf1c28,"#include <stdio.h>
#include <string.h>
int main()
{
	char *a[100],*b[100];
	char *p;
	gets(*a);
	gets(*b);
   strstr(*a,*b);
    if(p)
        printf(""Yes"");
    else
        printf(""No"");
   
    return 0;
}",0.0,"#include <stdio.h>
#include <string.h>
int main()
{
	char *varb_0[100],*b[100];
	char *varb_1;
	gets(*varb_0);
	gets(*b);
   strstr(*varb_0,*b);
    if(varb_1)
        printf(""Yes"");
    else
        printf(""No"");
    return 0;
}",9,2c9f30a56eaa009f016ec1c34cbf1c28_0.csv
1,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i]!='\0';i++)
   
   for(b=0;A[b]!='\0';b++)
   {
      if(A[b]==B[c])
      {
        c++;
        d++;
      }
      if(c==i)
      break;
      if(A[b]!=B[c])
      d=0;
   }
     if(i==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
     
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[b]!='\0';b++)
   {
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
      if(c==varb_1)
      break;
      if(varb_0[b]!=B[c])
      d=0;
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
",16,2c9f30a56eaa009f016ec1c34cbf1c28_1.csv
2,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i]!='\0';i++)
   
   for(b=0;A[b]!='\0';b++)
   {
        if(A[b]!=B[c])
     { c=0;
      d=0;
      } 
      if(A[b]==B[c])
      {
        c++;
        d++;
      }           
   }
     if(i==d)
     printf(""Yes"");
     else
     printf(""%d"",d);
     return 0;
   }
     
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[b]!='\0';b++)
   {
        if(varb_0[b]!=B[c])
     { c=0;
      d=0;
      } 
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }           
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""%d"",d);
     return 0;
   }
",24,2c9f30a56eaa009f016ec1c34cbf1c28_2.csv
3,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",&A,&B);
   if(strstr(A,B)!=NULL)
     {printf(""No"");}
   else
     {printf(""Yes"");}
   return 0;




}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B)!=NULL)
     {printf(""No"");}
   else
     {printf(""Yes"");}
   return 0;
}",6,2c9f30a56eaa009f016ec1c34cbf1c28_3.csv
4,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
#define M 100
void main()
{
    char A[M],B[M];
    gets(A);
    gets(B);
    if(strstr(A,B))
    printf(""YES"");
    else
    printf(""NO"");
}",0.0,"#include<stdio.h>
#include<string.h>
#define M 100
void main()
{
    char varb_0[M],B[M];
    gets(varb_0);
    gets(B);
    if(strstr(varb_0,B))
    printf(""YES"");
    else
    printf(""NO"");
}",10,2c9f30a56eaa009f016ec1c34cbf1c28_4.csv
5,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char A[100],B[100];
   scanf(""%s%s"",&A,&B);
   if(strstr(A,B)==NULL)
      printf(""No"");
      else
      printf(""Yes"");
   return 0;




}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B)==NULL)
      printf(""No"");
      else
      printf(""Yes"");
   return 0;
}",6,2c9f30a56eaa009f016ec1c34cbf1c28_5.csv
6,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void f(char[],char[]) ;
int main() 
{
char A[100], B[100];
gets(A);
gets(B);
f(A, B) ;
return 0;
}

void f(char A[],char B[]) 
{
int i,j,s;
  for(i=0,j=0;A[i]!='\0';i++)
   {
     if(A[i]!=B[j])
       s=0, j=0;
     if(A[i]==B[j]) 
     {    
       s++;
       j++;
     }
   }
if(s!=strlen(B))
  printf(""Yes"");
if(s==strlen(B)) 
  printf(""No"") ;
}  ",0.0,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
  for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0';varb_3++)
   {
     if(varb_0[varb_3]!=varb_2[varb_4])
       varb_5=0, varb_4=0;
     if(varb_0[varb_3]==varb_2[varb_4]) 
     {    
       varb_5++;
       varb_4++;
     }
   }
if(varb_5!=strlen(varb_2))
  printf(""Yes"");
if(varb_5==strlen(varb_2)) 
  printf(""No"") ;
}  ",14,2c9f30a56eaa009f016ec1c34cbf1c28_6.csv
7,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void main()
{
    char A[100],B[100];
    gets(A);
    gets(B);
    if(strstr(A,B))
    printf(""YES"");
    else
    printf(""NO"");
}",0.0,"#include<stdio.h>
#include<string.h>
void main()
{
    char varb_0[100],B[100];
    gets(varb_0);
    gets(B);
    if(strstr(varb_0,B))
    printf(""YES"");
    else
    printf(""NO"");
}",3,2c9f30a56eaa009f016ec1c34cbf1c28_7.csv
8,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
	int i=0,j=0,x=-1;
	char a[100];
	char b[100];
	gets(a);
	gets(b);
  while(i<strlen(a)&&j<strlen(b)){
        if(a[i]==b[j])
		{
            i++;
            j++;
        }else{
            i=0;
            j++;
        }
        if(i==strlen(b))
		{
            x=1;
            break;
        }
    }
    if(x==1)
    printf(""Yes"");
    else 
    printf(""No"");
}",0.0,"#include<stdio.h>
#include<string.h>
int main()
{
	int varb_0=0,j=0,x=-1;
	char varb_1[100];
	char varb_2[100];
	gets(varb_1);
	gets(varb_2);
  while(varb_0<strlen(varb_1)&&j<strlen(varb_2)){
        if(varb_1[varb_0]==varb_2[j])
		{
            varb_0++;
            j++;
        }else{
            varb_0=0;
            j++;
        }
        if(varb_0==strlen(varb_2))
		{
            x=1;
            break;
        }
    }
    if(x==1)
    printf(""Yes"");
    else 
    printf(""No"");
}",16,2c9f30a56eaa009f016ec1c34cbf1c28_8.csv
9,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char A[100],B[100];
   int i=0,b=0,c=0,d=0;
   gets(A);
   gets(B);
   for(i=0;B[i]!='\0';i++)
   
   for(b=0;A[b]!='\0';b++)
   {
      if(A[b]==B[c])
      {
        c++;
        d++;
      }
      if(A[b]!=B[c])
      d=0;
   }
     if(i==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
     
   ",0.0,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[b]!='\0';b++)
   {
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
      if(varb_0[b]!=B[c])
      d=0;
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
",16,2c9f30a56eaa009f016ec1c34cbf1c28_9.csv
