,id,code,is_true,format_code,errorline,code_spec
0,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
	float a,b,c,s,area,perimeter;
	scanf(""%f%f%f"",&a,&b,&c);
	if(a+b>c && a+c>b && b+c>a)
	{
	    perimeter=a+b+c;
    	s=(a+b+c)/2.0;
	    area=sqrt(s*(s-a)*(s-b)*(s-c));
	    printf(""area=%.2f,perimeter=%.2f"",area,perimeter);
    }
    else
	{
		printf(""These sides do not correspond to a valid triangle"");
	} 
	 return 0;
 } ",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	float varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
	scanf(""%f%f%f"",&varb_0,&varb_1,&varb_2);
	if(varb_0+varb_1>varb_2 && varb_0+varb_2>varb_1 && varb_1+varb_2>varb_0)
	{
	    varb_5=varb_0+varb_1+varb_2;
    	varb_3=(varb_0+varb_1+varb_2)/2.0;
	    varb_4=sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
	    printf(""area=%.2f,varb_5=%.2f"",varb_4,varb_5);
    }
    else
	{
		printf(""These sides do not correspond to varb_0 valid triangle"");
	} 
	 return 0;
 } ",12,2c9f30a576c1c3dd017bdd3d3ced6a66_0.csv
1,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include <stdio.h>
#include <math.h>
int main()
{
	int a,b,c;
    float area,perimeter,s;
	scanf(""%d %d %d"",&a,&b,&c);
	if(a+b>c&&a+c>b&&b+c>a){
		s=(s+b+c)/2;
		perimeter=a+b+c;
		area=sqrt(s*(s-a)*(s-b)*(s-c));
		printf(""area = %.2f; perimeter = %.2f"",area,perimeter);
	}
	else
		printf(""These sides do not correspond to a valid triangle"");
		
	return 0;
}",0.0,"#include <stdio.h>
#include <math.h>
int main()
{
	int varb_0,varb_1,varb_2;
    float varb_3,varb_4,varb_5;
	scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
	if(varb_0+varb_1>varb_2&&varb_0+varb_2>varb_1&&varb_1+varb_2>varb_0){
		varb_5=(varb_5+varb_1+varb_2)/2;
		varb_4=varb_0+varb_1+varb_2;
		varb_3=sqrt(varb_5*(varb_5-varb_0)*(varb_5-varb_1)*(varb_5-varb_2));
		printf(""area = %.2f; varb_4 = %.2f"",varb_3,varb_4);
	}
	else
		printf(""These sides do not correspond to varb_0 valid triangle"");
	return 0;
}",5,2c9f30a576c1c3dd017bdd3d3ced6a66_1.csv
2,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>

int main()
{
   int a,b,c;
   scanf(""%d %d %d"",&a,&b,&c);
   
   int s;
   s=(a+b+c)/2.00;
   
   double area,perimeter;
   
   area=pow(s*(s-a)*(s-b)*(s-c),0.5);
   perimeter=(a+b+c)*1.0;
   
   if(a+b>c&&a+c>b&&b+c>a)
       printf(""area = %.2f;perimeter = %.2f"",area,perimeter);
       
   else
       printf(""These sides do not correspond to a valid triangle"");
       
   return 0;
}
   
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
   int varb_0,varb_1,varb_2;
   scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
   int varb_3;
   varb_3=(varb_0+varb_1+varb_2)/2.00;
   double varb_4,varb_5;
   varb_4=pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5);
   varb_5=(varb_0+varb_1+varb_2)*1.0;
   if(varb_0+varb_1>varb_2&&varb_0+varb_2>varb_1&&varb_1+varb_2>varb_0)
       printf(""area = %.2f;varb_5 = %.2f"",varb_4,varb_5);
   else
       printf(""These sides do not correspond to varb_0 valid triangle"");
   return 0;
}
",7,2c9f30a576c1c3dd017bdd3d3ced6a66_2.csv
3,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
float a,b,c,s;            
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if (a+b<=c&&a+c<=b&&b+c<=a)printf(""These sides do not correspond to a valid triangle"");
 else printf(""area = %.2f; perimeter = %.2f"",pow(s*(s-a)*(s-b)*(s-c),0.5),a+b+c);
  return 0;
  }
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;            
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1<=varb_2&&varb_0+varb_2<=varb_1&&varb_1+varb_2<=varb_0)printf(""These sides do not correspond to varb_0 valid triangle"");
 else printf(""area = %.2f; perimeter = %.2f"",pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5),varb_0+varb_1+varb_2);
  return 0;
  }
",8,2c9f30a576c1c3dd017bdd3d3ced6a66_3.csv
4,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
float a,b,c,s;
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if(a+b<=c,a+c<=b)  printf(""These sides do not correspond to a valid triangle"");  
else  printf(""area =%.2f;perimeter =%.2f"",pow(s*(s-a)*(s-b)*(s-c),0.5),a+b+c); 
return 0;
}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1<=varb_2,varb_0+varb_2<=varb_1)  printf(""These sides do not correspond to varb_0 valid triangle"");  
else  printf(""area =%.2f;perimeter =%.2f"",pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5),varb_0+varb_1+varb_2); 
return 0;
}",8,2c9f30a576c1c3dd017bdd3d3ced6a66_4.csv
5,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>

#include<math.h>

int main()

{

int a,b,c;

double area,perimeter,s;

scanf(""%d %d %d"",&a,&b,&c);

if(a+b>c && a+c>b && b+c>a)

{

perimeter=a+b+c;

s=(a+b+c)/2;

area=sqrt(s*(s-a)*(s-b)*(s-c));

printf(""area=%.2f;perimeter=%.2f"",area,perimeter);

}

else

{

printf(""These sides do not correspond to a valid triangle"");

}

}",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
int varb_0,varb_1,varb_2;
double varb_3,varb_4,varb_5;
scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
if(varb_0+varb_1>varb_2 && varb_0+varb_2>varb_1 && varb_1+varb_2>varb_0)
{
varb_4=varb_0+varb_1+varb_2;
varb_5=(varb_0+varb_1+varb_2)/2;
varb_3=sqrt(varb_5*(varb_5-varb_0)*(varb_5-varb_1)*(varb_5-varb_2));
printf(""area=%.2f;varb_4=%.2f"",varb_3,varb_4);
}
else
{
printf(""These sides do not correspond to varb_0 valid triangle"");
}
}",11,2c9f30a576c1c3dd017bdd3d3ced6a66_5.csv
6,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
  double a,b,c,s,area,perimeter;
  scanf (""%d %d %d"",&a,&b,&c);
  if (a+b>c&&b+c>a&&a+c>b)
  {
    s=(a+b+c)/2;
    area==sqrt(s*(s-a)*(s-b)*(s-c));
    perimeter==a+b+c;
    printf (""area=%.2d;perimrter=%.2d"",area,perimeter);
    }   
    else
   { printf (""These sides do not correspond to a valid triangle"");}
    
    return 0;
    }
      ",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
  double varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
  scanf(""%d %d %d"",&varb_0,&varb_1,&varb_2);
  if(varb_0+varb_1>varb_2&&varb_1+varb_2>varb_0&&varb_0+varb_2>varb_1)
  {
    varb_3=(varb_0+varb_1+varb_2)/2;
    varb_4==sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
    varb_5==varb_0+varb_1+varb_2;
    printf(""area=%.2d;perimrter=%.2d"",varb_4,varb_5);
    }   
    else
   { printf(""These sides do not correspond to varb_0 valid triangle"");}
    return 0;
    }
",5,2c9f30a576c1c3dd017bdd3d3ced6a66_6.csv
7,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
float a,b,c,s;            
scanf(""%f %f %f"",&a,&b,&c);
s=(a+b+c)/2;
if (a+b>=c&&a+c>=b&&b+c>=a) printf(""area = %.2f; perimeter = %.2f"",pow(s*(s-a)*(s-b)*(s-c),0.5),a+b+c);
 else printf(""These sides do not correspond to a valid triangle"");
  return 0;
  }
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;            
scanf(""%f %f %f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1>=varb_2&&varb_0+varb_2>=varb_1&&varb_1+varb_2>=varb_0) printf(""area = %.2f; perimeter = %.2f"",pow(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2),0.5),varb_0+varb_1+varb_2);
 else printf(""These sides do not correspond to varb_0 valid triangle"");
  return 0;
  }
",8,2c9f30a576c1c3dd017bdd3d3ced6a66_7.csv
8,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{
	float a,b,c,s,area,perimeter;
	scanf(""%f,%f,%f"",&a,&b,&c);
	if(a+b<c&&a+c<b&&b+c<a)
	{
	    perimeter=a+b+c;
    	s=(a+b+c)/2;
	    area=sqrt(s*(s-a)*(s-b)*(s-c));
	    printf(""area=%.2f,perimeter=%.2f"",area,perimeter);
    }
    else
	{
		printf(""These sides do not correspond to a valid triangle"");
	} 
	 return 0;
 } ",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
	float varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
	scanf(""%f,%f,%f"",&varb_0,&varb_1,&varb_2);
	if(varb_0+varb_1<varb_2&&varb_0+varb_2<varb_1&&varb_1+varb_2<varb_0)
	{
	    varb_5=varb_0+varb_1+varb_2;
    	varb_3=(varb_0+varb_1+varb_2)/2;
	    varb_4=sqrt(varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2));
	    printf(""area=%.2f,varb_5=%.2f"",varb_4,varb_5);
    }
    else
	{
		printf(""These sides do not correspond to varb_0 valid triangle"");
	} 
	 return 0;
 } ",6,2c9f30a576c1c3dd017bdd3d3ced6a66_8.csv
9,2c9f30a576c1c3dd017bdd3d3ced6a66,"#include<stdio.h>
#include<math.h>
int main()
{

float  a,b,c,s,area,perimeter;
scanf(""%f%f%f"",&a,&b,&c);
s=(a+b+c)/2;
if(a+b>c&&a-b<c)
{
area=s*(s-a)*(s-b)*(s-c);
area=sqrt(area);
perimeter=a+b+c;
printf(""area=%.2f;perimeter=%.2f"");
}
else
printf(""These sides do not correspond to a valid triangle"");
return 0;
}
",0.0,"#include<stdio.h>
#include<math.h>
int main()
{
float  varb_0,varb_1,varb_2,varb_3,varb_4,varb_5;
scanf(""%f%f%f"",&varb_0,&varb_1,&varb_2);
varb_3=(varb_0+varb_1+varb_2)/2;
if(varb_0+varb_1>varb_2&&varb_0-varb_1<varb_2)
{
varb_4=varb_3*(varb_3-varb_0)*(varb_3-varb_1)*(varb_3-varb_2);
varb_4=sqrt(varb_4);
varb_5=varb_0+varb_1+varb_2;
printf(""area=%.2f;varb_5=%.2f"");
}
else
printf(""These sides do not correspond to varb_0 valid triangle"");
return 0;
}
",7,2c9f30a576c1c3dd017bdd3d3ced6a66_9.csv
