,id,code,is_true,errorline
0,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
gets(varb_0);
gets(varb_1);
if(strncmp(varb_0,varb_1,100)!=0)
printf(""Yes"");
else
printf(""No"");
 } ",0.0,9
1,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
gets(varb_0);
gets(varb_1);
if(strncmp(varb_0,varb_1,100)==0)
printf(""No"");
else
printf(""Yes"");
 } ",0.0,9
2,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[b]!='\0';b++)
   {
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
      if(varb_0[b]!=B[c])
      d=0;
   }
     if(varb_1==d)
     printf(""Yes"");
     else
     printf(""No"");
     return 0;
   }
",0.0,16
3,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B))
     {printf(""Yes"");}
   else
     {printf(""No"");}
   return 0;
}",0.0,6
4,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
   char varb_0[100],B[100];
   scanf(""%s%s"",&varb_0,&B);
   if(strstr(varb_0,B)!=NULL)
      printf(""No"");
      else
      printf(""Yes"");
   return 0;
}",0.0,5
5,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
int main()
{
   char varb_0[100],B[100];
   int varb_1=0,b=0,c=0,d=0;
   gets(varb_0);
   gets(B);
   for(varb_1=0;B[varb_1]!='\0';varb_1++)
   for(b=0;varb_0[varb_1]!='\0';b++)
   {
      if(varb_0[b]!=B[c])
      d=0;
      if(varb_0[b]==B[c])
      {
        c++;
        d++;
      }
   }
     if(varb_1==d)
     printf(""yes"");
     else
     printf(""no"");
return 0;
}
",0.0,9
6,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
char *varb_2;
scanf(""%s%s"",varb_0,varb_1);
varb_2=strstr(varb_0,varb_1);
if(varb_2!=NULL)
printf(""Yes"");
else
printf(""No"");
return 0;
}",0.0,5
7,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
int main()
{
char varb_0[100];
char varb_1[100];
int varb_2,varb_3,varb_4,varb_5,varb_6,varb_7;
gets(varb_0);
gets(varb_1);
varb_2=strlen(varb_0);
varb_3=strlen(varb_1);
for(varb_4=0;varb_4<varb_2;varb_4++)
{varb_6=0;varb_7=1;
for(varb_5=varb_4;varb_5<varb_3+varb_4;varb_5++)
{if(varb_0[varb_5]!=varb_1[varb_6++])
varb_7=0;}}
if(varb_7==1)
printf(""Yes"");
else printf(""No"");
return 0;}",0.0,7
8,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
varb_5=0;
for(varb_3=0,varb_4=0;varb_2[varb_4]!='\0';varb_3++)
 {
   if(varb_0[varb_3]!=varb_2[varb_4])
     varb_5=0, varb_4=0;
   if(varb_0[varb_3]==varb_2[varb_4]) 
     {
      varb_4++;
      varb_5++;
     }
   if(varb_5==strlen(varb_2))
    {
    printf(""Yes"");
    break;
    }
 }
if(varb_5!=strlen(varb_2)) 
 printf(""No"") ;
}
",0.0,16
9,2c9f30a56eaa009f016ec1c34cbf1c28,"#include<stdio.h>
#include<string.h>
void func_0(char[],char[]) ;
int main() 
{
char varb_0[100], varb_2[100];
gets(varb_0);
gets(varb_2);
func_0(varb_0, varb_2) ;
return 0;
}
void func_0(char varb_0[],char varb_2[]) 
{
int varb_3,varb_4,varb_5;
  for(varb_3=0,varb_4=0;varb_0[varb_3]!='\0';varb_3++)
   {
     if(varb_0[varb_3]!=varb_2[varb_4])
       varb_5=0, varb_4=0;
     if(varb_0[varb_3]==varb_2[varb_4]) 
     {    
       varb_5++;
       varb_4++;
     }
   }
if(varb_5!=strlen(varb_2))
  printf(""Yes"");
if(varb_5==strlen(varb_2)) 
  printf(""No"") ;
}  ",0.0,14
