,id,code,is_true,format_code,errorline
0,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>

int main()
{
int math=87 ;
int eng=72 ;
int comp=93;
int average=(math+eng+comp)/3;
printf(""math=%d eng=%d comp=%d average=%d\n"",math,eng,comp,average);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0=87 ;
int varb_1=72 ;
int varb_2=93;
int varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d varb_1=%d varb_2=%d varb_3=%d\n"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",8
1,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int math;
  int eng; 
  int comp;
  int average;
  
  math=87;
  eng=72;
  comp=93;
  average=(math+eng+comp)/3;
  printf(""math = %d,eng = %d,comp = %d,average=%d\n."",math,eng,comp,average);
  
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  int varb_1; 
  int varb_2;
  int varb_3;
  varb_0=87;
  varb_1=72;
  varb_2=93;
  varb_3=(varb_0+varb_1+varb_2)/3;
  printf(""math = %d,varb_1 = %d,varb_2 = %d,varb_3=%d\n."",varb_0,varb_1,varb_2,varb_3);
  return 0;
}",12
2,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>

int main()

{

   int math,eng,comp,average;

   math = 87;

   eng = 72;

   comp = 93;

   printf(""math = 87, eng = 72, comp = 93, average = %d"",(87+71+93)/3);

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3;
   varb_0 = 87;
   varb_1 = 72;
   varb_2 = 93;
   printf(""math = 87, varb_1 = 72, varb_2 = 93, varb_3 = %d"",(87+71+93)/3);
    return 0;
}",8
3,2c9f30a57c74a921017c774bbf030581," #include<stdio.h>
int main()
{
int math=87,eng=72,comp=93,sum;
 scanf(""%d %d %d"",&math,&eng,&comp);   
 sum=(math+eng+comp)/3;
printf(""average=%d"");
       return 0;
}",0.0," #include<stdio.h>
int main()
{
int varb_0=87,eng=72,comp=93,sum;
 scanf(""%d %d %d"",&varb_0,&eng,&comp);   
 sum=(varb_0+eng+comp)/3;
printf(""average=%d"");
       return 0;
}",7
4,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int math = 87,eng = 72,comp = 93,average;
  average=(math+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d"" ,math,eng,comp,average);
  return 0;
}",0.0,"#include <stdio.h>
int main()
{
  int varb_0 = 87,eng = 72,comp = 93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d"" ,varb_0,eng,comp,average);
  return 0;
}",6
5,2c9f30a57c74a921017c774bbf030581,"#include ""stdio.h""
int main()
{
  int math=87,eng=72,comp=93;
  int average;
  average=(math+eng+comp)/3;
  printf(""math=%f ,eng=%f, comp=%f, average=%f"",math,eng,comp,average);
  return 0;
}
",0.0,"#include ""stdio.h""
int main()
{
  int varb_0=87,eng=72,comp=93;
  int varb_1;
  varb_1=(varb_0+eng+comp)/3;
  printf(""math=%f ,eng=%f, comp=%f, varb_1=%f"",varb_0,eng,comp,varb_1);
  return 0;
}
",7
6,2c9f30a57c74a921017c774bbf030581,"#include""stdio.h""
int main()
{
  int math=87,eng=72,comp=93;
  int average;
   average=(math+eng+comp)/3;
   printf(""math%d,eng=%d,comp=%d,average=%d"",math,eng,comp,average);
   return 0;
  }",0.0,"#include""stdio.h""
int main()
{
  int varb_0=87,eng=72,comp=93;
  int varb_1;
   varb_1=(varb_0+eng+comp)/3;
   printf(""math%d,eng=%d,comp=%d,varb_1=%d"",varb_0,eng,comp,varb_1);
   return 0;
  }",7
7,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int math=87;
  int eng=72;
  int comp=93;
  int average=math/3+eng/3+comp/3;
  printf(""math=%d,"",math);
  printf(""eng=%d,"",eng);
  printf(""comp%d,"",comp);
  printf(""average=%d"",average);
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0=87;
  int varb_1=72;
  int varb_2=93;
  int varb_3=varb_0/3+varb_1/3+varb_2/3;
  printf(""math=%d,"",varb_0);
  printf(""eng=%d,"",varb_1);
  printf(""comp%d,"",varb_2);
  printf(""average=%d"",varb_3);
  return 0;
}",10
8,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()

{

  int math;

  int eng;

  int comp;

  int total;

  int average;

    math=87;

    eng=72;

    comp=93;

    total=math+eng+comp;

    average=total/3;

    printf(""math= %d,eng= %d,comp= %d,verage= %d\n"",math,eng,comp,average);

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
  int varb_0;
  int varb_1;
  int varb_2;
  int varb_3;
  int varb_4;
    varb_0=87;
    varb_1=72;
    varb_2=93;
    varb_3=varb_0+varb_1+varb_2;
    varb_4=varb_3/3;
    printf(""math= %d,varb_1= %d,varb_2= %d,verage= %d\n"",varb_0,varb_1,varb_2,varb_4);
    return 0;
}",14
9,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>

int main()
{
	int math,eng,comp,average;
	math=87,eng=72,comp=93;
	average=(math+eng+comp)/3;
	printf(""math=%d,comp=%d,comp=%d,average=%d"",math,eng,comp,average);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_0=87,varb_1=72,varb_2=93;
	varb_3=(varb_0+varb_1+varb_2)/3;
	printf(""math=%d,varb_2=%d,varb_2=%d,varb_3=%d"",varb_0,varb_1,varb_2,varb_3);
	return 0;
}",4
10,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int math,eng,comp,average;
math=87,eng=72,comp=93;
average=(math+eng+comp)/3;
printf(""math=%d,eng=%d,comp=%d,average=%d"",main,eng,comp,average);
 
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2,varb_3;
varb_0=87,varb_1=72,varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d,varb_1=%d,varb_2=%d,varb_3=%d"",main,varb_1,varb_2,varb_3);
return 0;
}",7
11,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
	int math = 87;
	int eng = 72;
	int comp = 93;
	int average = math/3+eng/3+comp/3;
	printf(""math=%d,"",math);
	printf(""eng=%d,"",eng);
	printf(""comp=%d,"",comp);
	printf(""average=%d,"",average);
	return 0;
}
",0.0,"#include<stdio.h>
int main()
{
	int varb_0 = 87;
	int varb_1 = 72;
	int varb_2 = 93;
	int varb_3 = varb_0/3+varb_1/3+varb_2/3;
	printf(""math=%d,"",varb_0);
	printf(""eng=%d,"",varb_1);
	printf(""comp=%d,"",varb_2);
	printf(""average=%d,"",varb_3);
	return 0;
}
",11
12,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
  int math=87;
  int eng=72;
  int comp=93;
  int average=math/3+eng/3+comp/3;
  printf(""math=%d,"",math);
  printf(""eng=%d,"",eng);
  printf(""comp=%d,"",comp);
  printf(""average=%d,"",average);
  return 0;
}",0.0,"#include<stdio.h>
int main()
{
  int varb_0=87;
  int varb_1=72;
  int varb_2=93;
  int varb_3=varb_0/3+varb_1/3+varb_2/3;
  printf(""math=%d,"",varb_0);
  printf(""eng=%d,"",varb_1);
  printf(""comp=%d,"",varb_2);
  printf(""average=%d,"",varb_3);
  return 0;
}",11
13,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
float math,eng,comp,sum,average;
math=87;
eng=72;
comp=93;
sum=math+eng+comp;
average=sum/3;
printf(""math=87,eng=72,comp=93,average=%f"",average);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3,varb_4;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=varb_0+varb_1+varb_2;
varb_4=varb_3/3;
printf(""math=87,varb_1=72,varb_2=93,varb_4=%f"",varb_4);
return 0;
}",4
14,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
    printf(""math = 87, eng = 72, comp = 93, average = %lf\n"",(87+72+93)/(double)3);
    return 0;
}",0.0,"#include<stdio.h>
int main()
{
    printf(""math = 87, eng = 72, comp = 93, average = %lf\n"",(87+72+93)/(double)3);
    return 0;
}",4
15,2c9f30a57c74a921017c774bbf030581,"#include ""stdio.h""
int main()
{
  float math=87,eng=72,comp=93;
  float average;
  average=(math+eng+comp)/3;
  printf(""math=%f ,eng=%f, comp=%f, average=%f"",math,eng,comp,average);
  return 0;
}
",0.0,"#include ""stdio.h""
int main()
{
  float varb_0=87,eng=72,comp=93;
  float varb_1;
  varb_1=(varb_0+eng+comp)/3;
  printf(""math=%f ,eng=%f, comp=%f, varb_1=%f"",varb_0,eng,comp,varb_1);
  return 0;
}
",4
16,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>

int main()

{

   int math,eng,comp,average;

   math = 87;

   eng = 71;

   comp = 93;

   printf(""math = 87, eng = 71, comp = 93, average = %d"",(87+71+93)/3);

    return 0;

}",0.0,"#include<stdio.h>
int main()
{
   int varb_0,varb_1,varb_2,varb_3;
   varb_0 = 87;
   varb_1 = 71;
   varb_2 = 93;
   printf(""math = 87, varb_1 = 71, varb_2 = 93, varb_3 = %d"",(87+71+93)/3);
    return 0;
}",6
17,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
int math,eng,comp;
float average;
math=87;
eng=72;
comp=93;
average=(math+eng+comp)/3;
printf(""math=%d,eng=%d,comp=%d,average=%f"",math,eng,comp,average);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
int varb_0,varb_1,varb_2;
float varb_3;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%d,varb_1=%d,varb_2=%d,varb_3=%f"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",2
18,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int math = 87,eng = 72,comp = 93,average;
  average=(math+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d""            ,math,eng,comp,average);
  return 0;
}",0.0,"#include <stdio.h>
int main()
{
  int varb_0 = 87,eng = 72,comp = 93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng = 72,comp = 93,average = %d""            ,varb_0,eng,comp,average);
  return 0;
}",6
19,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
float math,eng,comp,average;
math=87;
eng=72;
comp=93;
average=(math+eng+comp)/3;
printf(""math=%f,eng=%f,comp=%f,average=%f"",math,eng,comp,average);
return 0;
}",0.0,"#include<stdio.h>
int main()
{
float varb_0,varb_1,varb_2,varb_3;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%f,varb_1=%f,varb_2=%f,varb_3=%f"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",4
20,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
float main()
{
float math,eng,comp,average;
math=87;
eng=72;
comp=93;
average=(math+eng+comp)/3;
printf(""math=%f,eng=%f,comp=%f,average=%f"",math,eng,comp,average);
return 0;
}",0.0,"#include<stdio.h>
float main()
{
float varb_0,varb_1,varb_2,varb_3;
varb_0=87;
varb_1=72;
varb_2=93;
varb_3=(varb_0+varb_1+varb_2)/3;
printf(""math=%f,varb_1=%f,varb_2=%f,varb_3=%f"",varb_0,varb_1,varb_2,varb_3);
return 0;
}",2
21,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int math=87,eng=72,comp=93,average;
  average=(math+eng+comp)/3;
  printf(""math=%d,eng=72,comp=93,average=%d"" ,math,eng,comp,average);
  return 0;
}",0.0,"#include <stdio.h>
int main()
{
  int varb_0=87,eng=72,comp=93,average;
  average=(varb_0+eng+comp)/3;
  printf(""math=%d,eng=72,comp=93,average=%d"" ,varb_0,eng,comp,average);
  return 0;
}",6
22,2c9f30a57c74a921017c774bbf030581,"#include<stdio.h>
int main()
{
	int math,eng,comp,average;
	math=87,eng=72,comp=93;
	average=(math+eng+comp)/3;
	printf(""math=%d,comp=%d,comp=%d,average=%d\n"",math,eng,comp,average);
	return 0;
}",0.0,"#include<stdio.h>
int main()
{
	int varb_0,varb_1,varb_2,varb_3;
	varb_0=87,varb_1=72,varb_2=93;
	varb_3=(varb_0+varb_1+varb_2)/3;
	printf(""math=%d,varb_2=%d,varb_2=%d,varb_3=%d\n"",varb_0,varb_1,varb_2,varb_3);
	return 0;
}",7
23,2c9f30a57c74a921017c774bbf030581,"#include <stdio.h>
int main()
{
  int math=87,eng=72,comp=93,ave;
  ave=(87+72+93)/3;
  printf(""math=%d,eng=%d,comp=%d,ave=%d"" ,math,eng,comp,ave);
  return 0;
}",0.0,"#include <stdio.h>
int main()
{
  int varb_0=87,eng=72,comp=93,ave;
  ave=(87+72+93)/3;
  printf(""math=%d,eng=%d,comp=%d,ave=%d"" ,varb_0,eng,comp,ave);
  return 0;
}",4
