,id,code,is_true,format_code,errorline
0,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
double fact(double x,int n)
{
if(n<=0)
return 1;
else
return fact(x,n-1)*x;
}
main()
{
double x;
int n;
scanf(""%lf %d"",&x,&n);
printf(""%lf"",fact(x,n));
}",0.0,"#include<stdio.h>
double func_0(double varb_0,int varb_1)
{
if(varb_1<=0)
return 1;
else
return func_0(varb_0,varb_1-1)*varb_0;
}
main()
{
double varb_0;
int varb_1;
scanf(""%lf %d"",&varb_0,&varb_1);
printf(""%lf"",func_0(varb_0,varb_1));
}",14
1,2c9f30a56e72f8ae016e796960b906ea,"#include <stdio.h>
long digui(int ,int); 
int main()
{
	int a,b;
	scanf(""%d %d"",&a,&b);
	printf(""%d"",digui(a,b));
}
long digui(int X,int n)
{
	if(n==1)
	return X;
	else
	return X*digui(X,n-1);
	
}",0.0,"#include <stdio.h>
long func_0(int ,int); 
int main()
{
	int varb_0,varb_1;
	scanf(""%d %d"",&varb_0,&varb_1);
	printf(""%d"",func_0(varb_0,varb_1));
}
long func_0(int varb_2,int varb_3)
{
	if(varb_3==1)
	return varb_2;
	else
	return varb_2*func_0(varb_2,varb_3-1);
}",2
2,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
long long int f(int m,int n)
{
if(n==0)
return 1;
else
return m*f(m,n-1);
}
int main()
{
int X,n;
scanf(""%d %d"",&X,&n);
printf(""%d"",f(X,n));
}",0.0,"#include<stdio.h>
long long int func_0(int varb_0,int varb_1)
{
if(varb_1==0)
return 1;
else
return varb_0*func_0(varb_0,varb_1-1);
}
int main()
{
int varb_3,varb_1;
scanf(""%d %d"",&varb_3,&varb_1);
printf(""%d"",func_0(varb_3,varb_1));
}",9
3,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
int f(int m,int n)
{
if(n==0)
return 1;
else
return m*f(m,n-1);
}
int main()
{
int X,n;
scanf(""%d %d"",&X,&n);
printf(""%lld"",f(X,n));
}",0.0,"#include<stdio.h>
int func_0(int varb_0,int varb_1)
{
if(varb_1==0)
return 1;
else
return varb_0*func_0(varb_0,varb_1-1);
}
int main()
{
int varb_3,varb_1;
scanf(""%d %d"",&varb_3,&varb_1);
printf(""%lld"",func_0(varb_3,varb_1));
}",2
4,2c9f30a56e72f8ae016e796960b906ea,"#include <stdio.h>
#include <stdlib.h>
long long  f(int x,int n){
if(n==0){
return 1;
}
else
return x*f(x,n-1);
}
long long  main()
{
long long x;
long long n;
scanf(""%d%d"",&x,&n);

long long a=f(x,n);
printf(""%d\n"",a);
return 0;
}",0.0,"#include <stdio.h>
#include <stdlib.h>
long long  func_0(int varb_0,int varb_1){
if(varb_1==0){
return 1;
}
else
return varb_0*func_0(varb_0,varb_1-1);
}
long long  main()
{
long long varb_0;
long long varb_1;
scanf(""%d%d"",&varb_0,&varb_1);
long long varb_5=func_0(varb_0,varb_1);
printf(""%d\n"",varb_5);
return 0;
}",14
5,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
double pow(int,int);
int main()
{
int x,n;
scanf(""%d%d"",&x,&n);
printf(""%d"",pow(x,n));


}
double pow(int x,int n)
{
if(n>=1)
return x*pow(x,n-1);



}",0.0,"#include<stdio.h>
double func_0(int,int);
int main()
{
int varb_0,varb_1;
scanf(""%d%d"",&varb_0,&varb_1);
printf(""%d"",func_0(varb_0,varb_1));
}
double func_0(int varb_0,int varb_1)
{
if(varb_1>=1)
return varb_0*func_0(varb_0,varb_1-1);
}",7
6,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
int main()
{
float fact(float, int);
float X;
int n;
scanf(""%f%d"",&X,&n);
printf(""%f"",fact(X,n));}
float fact(float X,int n)
{
if(n<=0)
return 1;
else
return X*fact(X,n-1);
}",0.0,"#include<stdio.h>
int main()
{
float func_0(float, int);
float varb_0;
int varb_1;
scanf(""%f%d"",&varb_0,&varb_1);
printf(""%f"",func_0(varb_0,varb_1));}
float func_0(float varb_0,int varb_1)
{
if(varb_1<=0)
return 1;
else
return varb_0*func_0(varb_0,varb_1-1);
}",4
7,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>

long long fac(int,int);
int main()
{
int X,n;
scanf(""%d%d"",&X,&n);
printf(""%ld"",fac(X,n));
}
long long fac(int X,int n)
{
if(n==0)
return 1;
if(n==1)
return X;
else return(X*fac(X,n-1));
}
",0.0,"#include<stdio.h>
long long func_0(int,int);
int main()
{
int varb_0,varb_1;
scanf(""%d%d"",&varb_0,&varb_1);
printf(""%ld"",func_0(varb_0,varb_1));
}
long long func_0(int varb_0,int varb_1)
{
if(varb_1==0)
return 1;
if(varb_1==1)
return varb_0;
else return(varb_0*func_0(varb_0,varb_1-1));
}
",5
8,2c9f30a56e72f8ae016e796960b906ea,"#include <stdio.h>

double f(double,int);
int main()
{
 int n;
 double X;
 scanf(""%lf %d"",X,n);
 printf(""%0f"",f(X,n));
}

double f(double X,int n)
{
 double s;
 if(X>1)
   s=f(X,n-1)*X;    
 return s; 
}
",0.0,"#include <stdio.h>
double func_0(double,int);
int main()
{
 int varb_0;
 double varb_1;
 scanf(""%lf %d"",varb_1,varb_0);
 printf(""%0f"",func_0(varb_1,varb_0));
}
double func_0(double varb_1,int varb_0)
{
 double varb_4;
 if(varb_1>1)
   varb_4=func_0(varb_1,varb_0-1)*varb_1;    
 return varb_4; 
}
",7
9,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
int nx(int,int);
int main()
{
	int m,n;
	int s;
	scanf(""%d %d"",&m,&n);
	s=nx(m,n);
	printf(""%d"",s);	
}
int nx(int m,int n)
{
	if(n==0)
		return 1;
	return m*nx(m,--n);
}",0.0,"#include<stdio.h>
int func_0(int,int);
int main()
{
	int varb_0,varb_1;
	int varb_2;
	scanf(""%d %d"",&varb_0,&varb_1);
	varb_2=func_0(varb_0,varb_1);
	printf(""%d"",varb_2);	
}
int func_0(int varb_0,int varb_1)
{
	if(varb_1==0)
		return 1;
	return varb_0*func_0(varb_0,--varb_1);
}",2
10,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
#include<math.h>
int ci(int a,int b);
int main()
{
int a,b;scanf(""%d %d"",a,b);
printf(""%d"",ci(a,b));
return 0;
}
int ci(int a,int b)
{
int c;
c=pow(a,b);
return c;
}",0.0,"#include<stdio.h>
#include<math.h>
int func_0(int varb_0,int varb_1);
int main()
{
int varb_0,varb_1;scanf(""%d %d"",varb_0,varb_1);
printf(""%d"",func_0(varb_0,varb_1));
return 0;
}
int func_0(int varb_0,int varb_1)
{
int varb_6;
varb_6=pow(varb_0,varb_1);
return varb_6;
}",3
11,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
#include<math.h>
long long yizhicheng(int,int);
main()
{
long long m,n;
scanf(""%d %d"",&m,&n);
printf(""%ld"",yizhicheng(m,n));
}
long long yizhicheng(int m,int n)
{

if(n==0)
return 1;
else
return(m*pow(m,n-1));


}",0.0,"#include<stdio.h>
#include<math.h>
long long func_0(int,int);
main()
{
long long varb_0,varb_1;
scanf(""%d %d"",&varb_0,&varb_1);
printf(""%ld"",func_0(varb_0,varb_1));
}
long long func_0(int varb_0,int varb_1)
{
if(varb_1==0)
return 1;
else
return(varb_0*pow(varb_0,varb_1-1));
}",3
12,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
int f(int, int) ;
int main() 
{
int X,n;
scanf(""%d %d"", &X, &n) ;
printf(""%d"",f(X, n)) ;
return 0;
}

int f(int X,int n)
{
if(n==0) 
return 1;
else
return X*f(X, n-1);
}",0.0,"#include<stdio.h>
int func_0(int, int) ;
int main() 
{
int varb_0,varb_1;
scanf(""%d %d"", &varb_0, &varb_1) ;
printf(""%d"",func_0(varb_0, varb_1)) ;
return 0;
}
int func_0(int varb_0,int varb_1)
{
if(varb_1==0) 
return 1;
else
return varb_0*func_0(varb_0, varb_1-1);
}",2
13,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
int ZC(int ,int );
int main()
{
    int X,n,a;
    scanf(""%d %d"",&X,&n);
    a=ZC(X,n);
    printf(""%d"",a);
}
int ZC(int X,int n)
{
    if(n==1)
    return X;
    else
    return X*ZC(X,n-1);
}",0.0,"#include<stdio.h>
int func_0(int ,int );
int main()
{
    int varb_0,varb_1,varb_2;
    scanf(""%d %d"",&varb_0,&varb_1);
    varb_2=func_0(varb_0,varb_1);
    printf(""%d"",varb_2);
}
int func_0(int varb_0,int varb_1)
{
    if(varb_1==1)
    return varb_0;
    else
    return varb_0*func_0(varb_0,varb_1-1);
}",2
14,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
long int f(int, int) ;
int main() 
{
int X,n;
scanf(""%d %d"", &X, &n) ;
printf(""%ld"",f(X, n)) ;
return 0;
}

long int f(int X,int n)
{
if(n==0) 
return 1;
else
return X*f(X, n-1);
}",0.0,"#include<stdio.h>
long int func_0(int, int) ;
int main() 
{
int varb_0,varb_1;
scanf(""%d %d"", &varb_0, &varb_1) ;
printf(""%ld"",func_0(varb_0, varb_1)) ;
return 0;
}
long int func_0(int varb_0,int varb_1)
{
if(varb_1==0) 
return 1;
else
return varb_0*func_0(varb_0, varb_1-1);
}",2
15,2c9f30a56e72f8ae016e796960b906ea,"#include<stdio.h>
double p(int,int);
int main()
{
int x,n;
scanf(""%d%d"",&x,&n);
printf(""%d"",p(x,n));


}
double p(int x,int n)
{
if(n>=1)
return x*p(x,n-1);
else 
return 1;



}",0.0,"#include<stdio.h>
double func_0(int,int);
int main()
{
int varb_0,varb_1;
scanf(""%d%d"",&varb_0,&varb_1);
printf(""%d"",func_0(varb_0,varb_1));
}
double func_0(int varb_0,int varb_1)
{
if(varb_1>=1)
return varb_0*func_0(varb_0,varb_1-1);
else 
return 1;
}",7
